stops,seed,algorithm,condition,driving_min,late_min,late_stops,wait_min,objective
30,907,pso,ignoring,196.0108,168.1994,7,160.4502,1878.0044
30,907,ga,aware,309.8842,0.0,0,103.5344,309.8842
30,907,ga,ignoring,214.0055,313.7882,10,176.7938,3351.8877
30,907,nearest_neighbor,aware,306.5889,220.1623,11,196.908,2508.2121
30,907,nearest_neighbor,ignoring,192.8275,265.2902,8,160.2507,2845.7298
30,908,qpso,aware,260.7165,0.0,0,60.0415,260.7165
30,908,qpso,ignoring,184.7814,528.9251,17,193.8679,5474.0323
30,908,pso,aware,260.7165,0.0,0,60.0415,260.7165
30,908,pso,ignoring,188.6744,456.5227,16,189.1713,4753.9011
30,908,ga,aware,284.555,0.0,0,44.7263,284.555
30,908,ga,ignoring,182.9583,540.3295,16,187.657,5586.253
30,908,nearest_neighbor,aware,233.4263,299.6781,13,185.535,3230.2069
30,908,nearest_neighbor,ignoring,189.324,498.9026,19,201.8179,5178.3498
30,909,qpso,aware,236.3081,0.0,0,84.9044,236.3081
30,909,qpso,ignoring,151.8114,210.0254,12,147.8004,2252.0656
30,909,pso,aware,221.3855,0.0,0,42.2554,221.3855
30,909,pso,ignoring,151.7126,197.3433,12,147.8004,2125.1458
30,909,ga,aware,242.1535,0.0,0,50.9631,242.1535
30,909,ga,ignoring,152.8255,314.2021,15,171.0538,3294.8467
30,909,nearest_neighbor,aware,162.4321,243.5618,13,153.7982,2598.0504
30,909,nearest_neighbor,ignoring,152.8255,314.2021,15,171.0538,3294.8467
30,910,qpso,aware,219.151,0.0,0,127.6499,219.151
30,910,qpso,ignoring,164.4589,270.6354,12,235.898,2870.8132
30,910,pso,aware,215.2359,0.0,0,125.2014,215.2359
30,910,pso,ignoring,186.8728,198.2754,6,199.0109,2169.6265
30,910,ga,aware,212.6897,0.0,0,138.5987,212.6897
30,910,ga,ignoring,175.6741,537.2808,12,253.7754,5548.4818
30,910,nearest_neighbor,aware,174.0061,215.6665,8,195.6122,2330.6712
30,910,nearest_neighbor,ignoring,174.0061,215.6665,8,195.6122,2330.6712
30,911,qpso,aware,207.4362,0.0,0,90.3627,207.4362
30,911,qpso,ignoring,159.3391,172.1095,12,186.3701,1880.4346
30,911,pso,aware,268.3656,0.0,0,145.4914,268.3656
30,911,pso,ignoring,154.5611,145.6636,9,186.7356,1611.1975
30,911,ga,aware,211.7826,0.0,0,120.1202,211.7826
30,911,ga,ignoring,159.8084,148.9134,13,183.5878,1648.9421
30,911,nearest_neighbor,aware,177.2243,52.1157,7,173.2386,698.3812
30,911,nearest_neighbor,ignoring,156.9303,237.157,13,201.4818,2528.5002
30,912,qpso,aware,212.1773,0.0,0,103.0662,212.1773
30,912,qpso,ignoring,154.776,178.6684,11,174.6209,1941.4597
30,912,pso,aware,222.7547,0.0,0,100.3134,222.7547
30,912,pso,ignoring,157.7317,125.9417,9,146.5021,1417.1484
30,912,ga,aware,191.4888,0.0,0,95.4879,191.4888
30,912,ga,ignoring,153.1931,209.4048,9,188.6805,2247.2414
30,912,nearest_neighbor,aware,155.9677,231.5904,9,177.4518,2471.872
30,912,nearest_neighbor,ignoring,155.9677,231.5904,9,177.4518,2471.872
30,913,qpso,aware,269.3828,0.0,0,102.2374,269.3828
30,913,qpso,ignoring,220.2621,364.5215,12,204.9675,3865.4768
30,913,pso,aware,279.2855,0.0,0,97.2374,279.2855
30,913,pso,ignoring,218.5133,245.0695,10,188.9033,2669.2081
30,913,ga,aware,270.5969,0.0,0,112.5725,270.5969
30,913,ga,ignoring,230.3291,369.6262,12,198.0548,3926.5916
30,913,nearest_neighbor,aware,254.0766,275.9366,9,178.0198,3013.4428
30,913,nearest_neighbor,ignoring,220.6834,314.4608,11,189.1291,3365.2918
30,914,qpso,aware,269.8661,0.0,0,87.5168,269.8661
30,914,qpso,ignoring,228.2407,291.594,11,209.4233,3144.1804
30,914,pso,aware,282.4171,0.0,0,78.4687,282.4171
30,914,pso,ignoring,228.2407,291.594,11,209.4233,3144.1804
30,914,ga,aware,270.2495,0.0,0,84.0863,270.2495
30,914,ga,ignoring,226.1738,287.6611,11,214.4233,3102.7847
30,914,nearest_neighbor,aware,257.6085,181.9787,8,178.6912,2077.3953
30,914,nearest_neighbor,ignoring,228.309,302.9251,12,214.4233,3257.5602
30,915,qpso,aware,247.0487,0.0,0,114.7569,247.0487
30,915,qpso,ignoring,180.008,129.9962,6,206.0481,1479.97
30,915,pso,aware,243.9769,0.0,0,101.3994,243.9769
30,915,pso,ignoring,191.4392,223.2616,9,181.0954,2424.0554
30,915,ga,aware,246.5046,0.0,0,109.4268,246.5046
30,915,ga,ignoring,190.7791,113.3541,9,165.258,1324.3204
30,915,nearest_neighbor,aware,205.838,240.884,9,202.3676,2614.6783
30,915,nearest_neighbor,ignoring,205.838,240.884,9,202.3676,2614.6783
30,916,qpso,aware,226.2739,0.0,0,115.9643,226.2739
30,916,qpso,ignoring,164.954,324.3925,11,208.4322,3408.8791
30,916,pso,aware,227.3152,0.0,0,108.9711,227.3152
30,916,pso,ignoring,176.3393,291.9343,9,179.2521,3095.6827
30,916,ga,aware,218.4469,0.0,0,114.0542,218.4469
30,916,ga,ignoring,181.0562,271.7417,10,183.7461,2898.4728
30,916,nearest_neighbor,aware,266.4892,206.2955,9,216.8836,2329.4439
30,916,nearest_neighbor,ignoring,166.7884,375.8402,12,208.2743,3925.1903
30,917,qpso,aware,221.8583,0.0,0,79.4523,221.8583
30,917,qpso,ignoring,174.139,247.9001,9,159.1981,2653.1404
30,917,pso,aware,239.3341,0.0,0,66.1715,239.3341
30,917,pso,ignoring,186.6696,173.7947,7,140.6855,1924.6164
30,917,ga,aware,226.4481,0.0,0,96.1112,226.4481
30,917,ga,ignoring,179.4172,228.432,8,158.2268,2463.7371
30,917,nearest_neighbor,aware,232.7229,160.3139,10,107.2689,1835.862
30,917,nearest_neighbor,ignoring,174.139,259.0712,9,152.1132,2764.851
30,918,qpso,aware,236.1309,0.0668,1,71.9677,236.7992
30,918,qpso,ignoring,176.6329,243.6409,11,203.036,2613.0417
30,918,pso,aware,235.8888,0.0,0,69.4157,235.8888
30,918,pso,ignoring,183.8262,218.1367,10,179.4443,2365.1932
30,918,ga,aware,188.3887,0.0,0,126.4158,188.3887
