stops,seed,algorithm,condition,driving_min,late_min,late_stops,wait_min,objective
30,907,pso,aware,311.4554,5.0583,1,103.1595,362.0387
30,907,pso,ignoring,196.0108,168.1994,7,160.4502,1878.0044
30,907,ga,aware,244.4556,0.0,0,112.2174,244.4556
30,907,ga,ignoring,214.0055,313.7882,10,176.7938,3351.8877
30,907,nearest_neighbor,aware,306.5889,220.1623,11,196.908,2508.2121
30,907,nearest_neighbor,ignoring,192.8275,265.2902,8,160.2507,2845.7298
30,908,qpso,aware,317.9564,4.0676,1,14.5663,358.6327
30,908,qpso,ignoring,186.776,468.9158,16,175.1785,4875.9344
30,908,pso,aware,285.9874,0.6432,1,47.633,292.4198
30,908,pso,ignoring,188.6744,456.5227,16,189.1713,4753.9011
30,908,ga,aware,229.1514,0.0,0,51.8361,229.1514
30,908,ga,ignoring,185.0205,403.0628,13,159.5524,4215.6488
30,908,nearest_neighbor,aware,233.4263,299.6781,13,185.535,3230.2069
30,908,nearest_neighbor,ignoring,189.324,498.9026,19,201.8179,5178.3498
30,909,qpso,aware,265.5225,0.0,0,37.2282,265.5225
30,909,qpso,ignoring,151.7226,213.5414,13,158.779,2287.1362
30,909,pso,aware,321.2761,0.0,0,46.8448,321.2761
30,909,pso,ignoring,151.7126,197.3433,12,147.8004,2125.1458
30,909,ga,aware,223.4573,0.0,0,47.069,223.4573
30,909,ga,ignoring,152.7266,316.5228,15,171.0538,3317.9544
30,909,nearest_neighbor,aware,162.4321,243.5618,13,153.7982,2598.0504
30,909,nearest_neighbor,ignoring,152.8255,314.2021,15,171.0538,3294.8467
30,910,qpso,aware,264.113,0.0,0,119.5595,264.113
30,910,qpso,ignoring,163.8604,313.0935,13,240.7305,3294.7954
30,910,pso,aware,260.668,0.1156,1,110.1377,261.8242
30,910,pso,ignoring,186.8728,198.2754,6,199.0109,2169.6265
30,910,ga,aware,200.0004,0.0,0,136.4051,200.0004
30,910,ga,ignoring,175.6741,537.2808,12,253.7754,5548.4818
30,910,nearest_neighbor,aware,174.0061,215.6665,8,195.6122,2330.6712
30,910,nearest_neighbor,ignoring,174.0061,215.6665,8,195.6122,2330.6712
30,911,qpso,aware,212.9655,0.0,0,113.6848,212.9655
30,911,qpso,ignoring,154.5611,153.831,10,191.7356,1692.8711
30,911,pso,aware,276.4785,0.0,0,85.5133,276.4785
30,911,pso,ignoring,154.5611,145.6636,9,186.7356,1611.1975
30,911,ga,aware,206.2755,0.0,0,127.937,206.2755
30,911,ga,ignoring,159.8084,148.9134,13,183.5878,1648.9421
30,911,nearest_neighbor,aware,177.2243,52.1157,7,173.2386,698.3812
30,911,nearest_neighbor,ignoring,156.9303,237.157,13,201.4818,2528.5002
30,912,qpso,aware,271.1903,0.0,0,89.063,271.1903
30,912,qpso,ignoring,156.4887,174.5622,6,156.4976,1902.1108
30,912,pso,aware,277.2208,2.7167,1,74.922,304.3877
30,912,pso,ignoring,158.9092,244.4173,7,185.8517,2603.0817
30,912,ga,aware,222.7458,0.4621,1,97.1242,227.367
30,912,ga,ignoring,153.9273,256.0947,9,177.3422,2714.8746
30,912,nearest_neighbor,aware,155.9677,231.5904,9,177.4518,2471.872
30,912,nearest_neighbor,ignoring,155.9677,231.5904,9,177.4518,2471.872
30,913,qpso,aware,359.5045,7.5731,1,54.4905,435.2353
30,913,qpso,ignoring,218.5133,245.0695,10,188.9033,2669.2081
30,913,pso,aware,380.963,27.9311,3,109.7306,660.2738
30,913,pso,ignoring,218.5133,245.0695,10,188.9033,2669.2081
30,913,ga,aware,258.1383,0.0,0,99.1104,258.1383
30,913,ga,ignoring,218.2844,366.5643,10,194.5279,3883.9273
30,913,nearest_neighbor,aware,254.0766,275.9366,9,178.0198,3013.4428
30,913,nearest_neighbor,ignoring,220.6834,314.4608,11,189.1291,3365.2918
30,914,qpso,aware,354.9145,0.4053,1,120.9952,358.9673
30,914,qpso,ignoring,228.309,302.9251,12,214.4233,3257.5602
30,914,pso,aware,362.5168,21.6061,2,70.513,578.578
30,914,pso,ignoring,228.2407,291.594,11,209.4233,3144.1804
30,914,ga,aware,285.9007,0.0,0,136.6367,285.9007
30,914,ga,ignoring,226.1738,287.6611,11,214.4233,3102.7847
30,914,nearest_neighbor,aware,257.6085,181.9787,8,178.6912,2077.3953
30,914,nearest_neighbor,ignoring,228.309,302.9251,12,214.4233,3257.5602
30,915,qpso,aware,217.8288,0.0,0,127.6573,217.8288
30,915,qpso,ignoring,183.2911,296.6426,9,225.7372,3149.7176
30,915,pso,aware,237.6049,0.0,0,132.0736,237.6049
30,915,pso,ignoring,191.4392,223.2616,9,181.0954,2424.0554
30,915,ga,aware,219.7723,0.0,0,116.0321,219.7723
30,915,ga,ignoring,190.7791,113.3541,9,165.258,1324.3204
30,915,nearest_neighbor,aware,205.838,240.884,9,202.3676,2614.6783
30,915,nearest_neighbor,ignoring,205.838,240.884,9,202.3676,2614.6783
30,916,qpso,aware,321.6696,0.093,1,129.5672,322.5996
30,916,qpso,ignoring,178.4675,176.1788,8,182.3374,1940.2555
30,916,pso,aware,323.5847,1.1128,1,126.6388,334.7131
30,916,pso,ignoring,174.8581,251.8955,11,217.472,2693.8126
30,916,ga,aware,226.7906,0.0,0,134.6246,226.7906
30,916,ga,ignoring,188.9749,331.0422,13,200.6143,3499.3971
30,916,nearest_neighbor,aware,266.4892,206.2955,9,216.8836,2329.4439
30,916,nearest_neighbor,ignoring,166.7884,375.8402,12,208.2743,3925.1903
30,917,qpso,aware,261.178,0.0,0,39.0756,261.178
