nodes,weights,pair,hops,algorithm,cost,exact_cost,gap_pct,seconds,dimension
40,time,14,8,qpso cold,19.05856399748403,19.05856399748403,0.0,0.1423330999969039,19
40,time,14,8,qpso big,19.05856399748403,19.05856399748403,0.0,0.6395917000045301,19
40,time,14,8,pso,19.05856399748403,19.05856399748403,0.0,0.11267420000513084,19
40,time,14,8,ga,19.05856399748403,19.05856399748403,0.0,0.3750925999993342,19
40,time,15,5,dijkstra,10.054950137231058,10.054950137231058,0.0,9.680000221123919e-05,0
40,time,15,5,qpso,10.054950137231058,10.054950137231058,0.0,0.1107826000006753,21
40,time,15,5,qpso cold,10.054950137231058,10.054950137231058,0.0,0.13683360000140965,21
40,time,15,5,qpso big,10.054950137231058,10.054950137231058,0.0,0.4180964000042877,21
40,time,15,5,pso,10.054950137231058,10.054950137231058,0.0,0.07761509999545524,21
40,time,15,5,ga,10.054950137231058,10.054950137231058,0.0,0.30501509999885457,21
40,time,16,10,dijkstra,26.277174737450807,26.277174737450807,0.0,0.0002308000039192848,0
40,time,16,10,qpso,26.277174737450807,26.277174737450807,0.0,0.16423539999959758,39
40,time,16,10,qpso cold,26.277174737450807,26.277174737450807,0.0,0.1988495999976294,39
40,time,16,10,qpso big,26.43927955985813,26.277174737450807,0.6169035447189332,0.6350727000026382,39
40,time,16,10,pso,26.277174737450807,26.277174737450807,0.0,0.12990200000058394,39
40,time,16,10,ga,26.43927955985813,26.277174737450807,0.6169035447189332,0.3672660000011092,39
40,time,17,6,dijkstra,14.810684810759394,14.810684810759394,0.0,0.00011719999747583643,0
40,time,17,6,qpso,14.810684810759394,14.810684810759394,0.0,0.10307520000060322,15
40,time,17,6,qpso cold,14.810684810759394,14.810684810759394,0.0,0.10929429999669082,15
40,time,17,6,qpso big,14.810684810759394,14.810684810759394,0.0,0.3841099999990547,15
40,time,17,6,pso,14.810684810759394,14.810684810759394,0.0,0.08781440000166185,15
40,time,17,6,ga,14.810684810759394,14.810684810759394,0.0,0.33825500000239117,15
40,time,18,4,dijkstra,10.344443783364754,10.344443783364754,0.0,9.219999628840014e-05,0
40,time,18,4,qpso,10.344443783364754,10.344443783364754,0.0,0.05900439999822993,10
40,time,18,4,qpso cold,10.344443783364754,10.344443783364754,0.0,0.0669283999959589,10
40,time,18,4,qpso big,10.344443783364754,10.344443783364754,0.0,0.27897590000065975,10
40,time,18,4,pso,10.344443783364754,10.344443783364754,0.0,0.04944489999616053,10
40,time,18,4,ga,10.344443783364754,10.344443783364754,0.0,0.3612769000028493,10
40,time,19,5,dijkstra,15.283280692053719,15.283280692053719,0.0,0.00019769999926211312,0
40,time,19,5,qpso,15.283280692053719,15.283280692053719,0.0,0.12330130000191275,20
40,time,19,5,qpso cold,15.283280692053719,15.283280692053719,0.0,0.15328520000184653,20
40,time,19,5,qpso big,15.283280692053719,15.283280692053719,0.0,0.6059772999942652,20
40,time,19,5,pso,15.283280692053719,15.283280692053719,0.0,0.11386379999748897,20
40,time,19,5,ga,15.283280692053719,15.283280692053719,0.0,0.3424633000031463,20
40,time,20,6,dijkstra,17.38622129407297,17.38622129407297,0.0,0.00010299999848939478,0
40,time,20,6,qpso,17.38622129407297,17.38622129407297,0.0,0.0904140999991796,19
40,time,20,6,qpso cold,17.38622129407297,17.38622129407297,0.0,0.10317180000129156,19
40,time,20,6,qpso big,17.38622129407297,17.38622129407297,0.0,0.4622218000004068,19
40,time,20,6,pso,17.38622129407297,17.38622129407297,0.0,0.13175829999818234,19
40,time,20,6,ga,17.38622129407297,17.38622129407297,0.0,0.33035689999815077,19
40,time,21,6,dijkstra,15.635478775391896,15.635478775391896,0.0,0.00018899999849963933,0
40,time,21,6,qpso,15.635478775391896,15.635478775391896,0.0,0.1157152000014321,28
40,time,21,6,qpso cold,15.635478775391896,15.635478775391896,0.0,0.12427250000473578,28
40,time,21,6,qpso big,15.635478775391896,15.635478775391896,0.0,0.5209345999974175,28
40,time,21,6,pso,15.635478775391896,15.635478775391896,0.0,0.08166000000346685,28
40,time,21,6,ga,15.635478775391896,15.635478775391896,0.0,0.34458810000069207,28
40,time,22,8,dijkstra,18.83437451360923,18.83437451360923,0.0,0.00021230000129435211,0
40,time,22,8,qpso,18.83437451360923,18.83437451360923,0.0,0.2212599999984377,40
40,time,22,8,qpso cold,18.83437451360923,18.83437451360923,0.0,0.28012239999952726,40
40,time,22,8,qpso big,18.83437451360923,18.83437451360923,0.0,0.6644507000019075,40
40,time,22,8,pso,18.83437451360923,18.83437451360923,0.0,0.28306110000266926,40
40,time,22,8,ga,18.83437451360923,18.83437451360923,0.0,0.4821139999985462,40
40,time,23,5,dijkstra,16.57400327115776,16.57400327115776,0.0,0.00016899999900488183,0
40,time,23,5,qpso,16.57400327115776,16.57400327115776,0.0,0.11809720000019297,13
40,time,23,5,qpso cold,16.57400327115776,16.57400327115776,0.0,0.11873280000145314,13
40,time,23,5,qpso big,16.57400327115776,16.57400327115776,0.0,0.458455200001481,13
40,time,23,5,pso,16.57400327115776,16.57400327115776,0.0,0.10014620000583818,13
40,time,23,5,ga,16.57400327115776,16.57400327115776,0.0,0.30455670000083046,13
40,time,24,8,dijkstra,19.49705986804522,19.49705986804522,0.0,0.00020590000349329785,0
40,time,24,8,qpso,19.49705986804522,19.49705986804522,0.0,0.1846099000031245,35
40,time,24,8,qpso cold,19.49705986804522,19.49705986804522,0.0,0.15586639999673935,35
40,time,24,8,qpso big,19.49705986804522,19.49705986804522,0.0,0.9139540999967721,35
40,time,24,8,pso,19.552567652541676,19.49705986804522,0.28469823076981193,0.075217600002361,35
40,time,24,8,ga,19.49705986804522,19.49705986804522,0.0,0.3540413999944576,35
40,time,25,6,dijkstra,13.070708580626532,13.070708580626532,0.0,0.00011139999696752056,0
40,time,25,6,qpso,13.070708580626532,13.070708580626532,0.0,0.07091509999736445,24
40,time,25,6,qpso cold,13.070708580626532,13.070708580626532,0.0,0.11594219999824418,24
40,time,25,6,qpso big,13.070708580626532,13.070708580626532,0.0,0.47116319999622647,24
40,time,25,6,pso,13.070708580626532,13.070708580626532,0.0,0.10231329999805894,24
40,time,25,6,ga,13.070708580626532,13.070708580626532,0.0,0.3609976000007009,24
40,time,26,10,dijkstra,26.276764629728877,26.276764629728877,0.0,0.00012960000458406284,0
40,time,26,10,qpso,26.4388694521362,26.276764629728877,0.6169131728794369,0.1298568000056548,40
40,time,26,10,qpso cold,26.4388694521362,26.276764629728877,0.6169131728794369,0.13552670000353828,40
40,time,26,10,qpso big,26.276764629728877,26.276764629728877,0.0,0.6818311000024551,40
40,time,26,10,pso,26.276764629728877,26.276764629728877,0.0,0.1723725000047125,40
